"Title:","Employed from the Current Population Survey: Labor Force Statistics Database"
"SubTitle:","USA - Industry: All Industries - Filter: Absence - Filter Item: N/A - Indicator: (Seas) Employment Level LNS12000000"
"Time:","01/1948 - 08/2022"
"Unit of Measure:","Number in thousands"
"Citation:","United States Census Bureau, Bureau of Labor Statistics (2022-09-16). Current Population Survey: Labor Force Statistics: Employed | All Industries | Absence | N/A | (Seas) Employment Level LNS12000000, 01/1948 - 08/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-042-004 doi:https://doi.org/10.6068/DP184764AAB1D4"
"ColumnCount:",2
"RowCount:",896

"Time","All Industries, Absence, N/A, (Seas) Employment Level LNS12000000 (Number in thousands)"
"12/1994",124721
"01/1995",124663
"02/1995",124928
"03/1995",124955
"04/1995",124945
"05/1995",124421
"06/1995",124522
"07/1995",124816
"08/1995",124852
"09/1995",125133
"10/1995",125388
"11/1995",125188
"12/1995",125088
"01/1996",125125
"02/1996",125639
"03/1996",125862
"04/1996",125994
"05/1996",126244
"06/1996",126602
"07/1996",126947
"08/1996",127172
"09/1996",127536
"10/1996",127890
"11/1996",127771
"12/1996",127860
"01/1997",128298
"02/1997",128298
"03/1997",128891
"04/1997",129143
"05/1997",129464
"06/1997",129412
"07/1997",129822
"08/1997",130010
"09/1997",130019
"10/1997",130179
"11/1997",130653
"12/1997",130679
"01/1998",130726
"02/1998",130807
"03/1998",130814
"04/1998",131209
"05/1998",131325
"06/1998",131244
"07/1998",131329
"08/1998",131390
"09/1998",131986
"10/1998",131999
"11/1998",132280
"12/1998",132602
"01/1999",133027
"02/1999",132856
"03/1999",132947
"04/1999",132955
"05/1999",133311
"06/1999",133378
"07/1999",133414
"08/1999",133591
"09/1999",133707
"10/1999",133993
"11/1999",134309
"12/1999",134523
"01/2000",136559
"02/2000",136598
"03/2000",136701
"04/2000",137270
"05/2000",136630
"06/2000",136940
"07/2000",136531
"08/2000",136662
"09/2000",136893
"10/2000",137088
"11/2000",137322
"12/2000",137614
"01/2001",137778
"02/2001",137612
"03/2001",137783
"04/2001",137299
"05/2001",137092
"06/2001",136873
"07/2001",137071
"08/2001",136241
"09/2001",136846
"10/2001",136392
"11/2001",136238
"12/2001",136047
"01/2002",135701
"02/2002",136438
"03/2002",136177
"04/2002",136126
"05/2002",136539
"06/2002",136415
"07/2002",136413
"08/2002",136705
"09/2002",137302
"10/2002",137008
"11/2002",136521
"12/2002",136426
"01/2003",137417
"02/2003",137482
"03/2003",137434
"04/2003",137633
"05/2003",137544
"06/2003",137790
"07/2003",137474
"08/2003",137549
"09/2003",137609
"10/2003",137984
"11/2003",138424
"12/2003",138411
"01/2004",138472
"02/2004",138542
"03/2004",138453
"04/2004",138680
"05/2004",138852
"06/2004",139174
"07/2004",139556
"08/2004",139573
"09/2004",139487
"10/2004",139732
"11/2004",140231
"12/2004",140125
"01/2005",140245
"02/2005",140385
"03/2005",140654
"04/2005",141254
